                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.31192,                0.23847,                0.83741,                0.99731,                0.99831,                0.99489,                0.97552,                0.16988,                0.12314,                0.75891,               0.006535,               0.006535,               0.006535
                     37,                0.31186,                0.23708,                0.83784,                0.99749,                 0.9983,                0.99489,                0.97511,                0.16942,                0.12277,                 0.7588,               0.006436,               0.006436,               0.006436
                     38,                0.31173,                 0.2371,                0.83749,                0.99748,                0.99831,                0.99489,                0.97512,                0.16901,                0.12236,                0.75839,               0.006337,               0.006337,               0.006337
                     39,                0.30833,                0.23592,                0.83529,                 0.9975,                0.99836,                0.99489,                 0.9751,                0.16867,                0.12182,                0.75742,               0.006238,               0.006238,               0.006238
                     40,                0.30675,                 0.2336,                0.83556,                 0.9975,                0.99838,                0.99489,                 0.9756,                 0.1681,                0.12119,                0.75658,               0.006139,               0.006139,               0.006139
                     41,                 0.3052,                0.23439,                0.83531,                0.99746,                0.99847,                0.99489,                0.97559,                0.16769,                0.12081,                0.75673,                0.00604,                0.00604,                0.00604
                     42,                0.30605,                0.23266,                0.83579,                0.99749,                0.99854,                 0.9949,                0.97596,                0.16729,                 0.1203,                0.75692,               0.005941,               0.005941,               0.005941
                     43,                0.30503,                 0.2317,                0.83559,                0.99748,                 0.9986,                 0.9949,                0.97556,                0.16703,                0.11996,                0.75747,               0.005842,               0.005842,               0.005842
                     44,                0.30318,                0.23097,                 0.8339,                 0.9974,                0.99854,                 0.9949,                0.97613,                0.16668,                0.11955,                0.75665,               0.005743,               0.005743,               0.005743
                     45,                0.30237,                0.23064,                 0.8331,                0.99759,                0.99847,                 0.9949,                0.97635,                0.16614,                0.11929,                0.75524,               0.005644,               0.005644,               0.005644
                     46,                0.29902,                0.22707,                0.83252,                0.99753,                0.99836,                 0.9949,                0.97691,                0.16559,                0.11883,                 0.7537,               0.005545,               0.005545,               0.005545
                     47,                0.29889,                0.22763,                0.83318,                0.99764,                0.99834,                 0.9949,                0.97648,                0.16535,                0.11838,                0.75324,               0.005446,               0.005446,               0.005446
                     48,                0.29749,                0.22592,                0.83402,                0.99781,                0.99813,                 0.9949,                0.97672,                 0.1649,                0.11818,                0.75384,               0.005347,               0.005347,               0.005347
                     49,                0.29708,                0.22525,                 0.8318,                0.99767,                0.99828,                 0.9949,                0.97698,                0.16467,                0.11795,                 0.7531,               0.005248,               0.005248,               0.005248
                     50,                0.29524,                0.22341,                0.83135,                0.99757,                0.99817,                 0.9949,                0.97699,                0.16441,                0.11732,                0.75194,               0.005149,               0.005149,               0.005149
                     51,                0.29337,                0.22285,                0.83204,                0.99783,                0.99793,                 0.9949,                0.97679,                0.16403,                0.11714,                0.75193,                0.00505,                0.00505,                0.00505
                     52,                0.29293,                0.22162,                0.83208,                 0.9979,                0.99788,                 0.9949,                0.97641,                0.16396,                0.11705,                0.75228,               0.004951,               0.004951,               0.004951
                     53,                0.29035,                0.21954,                0.83095,                0.99715,                0.99773,                 0.9949,                 0.9766,                0.16364,                0.11681,                0.75223,               0.004852,               0.004852,               0.004852
                     54,                0.28889,                 0.2184,                0.83005,                0.99738,                0.99765,                0.99491,                  0.976,                0.16321,                0.11674,                 0.7523,               0.004753,               0.004753,               0.004753
                     55,                0.28908,                 0.2169,                0.83052,                0.99735,                0.99769,                0.99491,                0.97594,                0.16282,                0.11634,                0.75246,               0.004654,               0.004654,               0.004654
                     56,                0.28708,                0.21601,                 0.8302,                0.99734,                0.99862,                0.99491,                0.97604,                0.16231,                0.11572,                 0.7521,               0.004555,               0.004555,               0.004555
                     57,                0.28595,                0.21656,                0.83018,                0.99736,                0.99858,                0.99491,                0.97596,                0.16197,                0.11548,                0.75181,               0.004456,               0.004456,               0.004456
                     58,                0.28471,                0.21318,                0.83083,                0.99743,                0.99847,                0.99491,                0.97667,                0.16139,                0.11512,                0.75133,               0.004357,               0.004357,               0.004357
                     59,                  0.282,                0.21194,                  0.828,                0.99736,                 0.9986,                0.99491,                0.97717,                0.16084,                0.11467,                0.75004,               0.004258,               0.004258,               0.004258
                     60,                0.28112,                0.21055,                0.82764,                0.99739,                 0.9985,                0.99491,                 0.9774,                0.16008,                0.11399,                0.74911,               0.004159,               0.004159,               0.004159
                     61,                0.27888,                0.20962,                0.82842,                0.99755,                0.99837,                0.99491,                0.97721,                0.15958,                0.11355,                0.74834,                0.00406,                0.00406,                0.00406
                     62,                0.27746,                0.20728,                0.82718,                0.99838,                0.99756,                0.99492,                0.97779,                0.15903,                0.11323,                0.74779,               0.003961,               0.003961,               0.003961
                     63,                0.27498,                0.20768,                0.82653,                0.99836,                0.99768,                0.99492,                0.97762,                0.15837,                0.11267,                0.74707,               0.003862,               0.003862,               0.003862
                     64,                 0.2753,                0.20633,                0.82853,                0.99785,                0.99825,                0.99492,                0.97808,                0.15779,                0.11202,                0.74707,               0.003763,               0.003763,               0.003763
                     65,                0.27358,                0.20391,                0.82714,                0.99777,                0.99851,                0.99492,                0.97828,                0.15703,                0.11128,                0.74689,               0.003664,               0.003664,               0.003664
                     66,                0.27143,                0.20393,                0.82575,                0.99783,                0.99849,                0.99492,                0.97826,                0.15617,                0.11072,                0.74583,               0.003565,               0.003565,               0.003565
                     67,                0.27059,                0.20236,                0.82474,                0.99779,                0.99867,                0.99492,                0.97846,                0.15573,                0.11023,                0.74556,               0.003466,               0.003466,               0.003466
                     68,                0.26999,                0.20109,                0.82487,                0.99784,                0.99877,                0.99492,                0.97875,                0.15503,                0.10989,                 0.7451,               0.003367,               0.003367,               0.003367
                     69,                0.26637,                0.19848,                0.82513,                0.99776,                0.99881,                0.99493,                0.97846,                0.15471,                0.10972,                0.74461,               0.003268,               0.003268,               0.003268
                     70,                0.26511,                0.19687,                0.82402,                0.99795,                0.99869,                0.99493,                0.97851,                 0.1543,                0.10918,                 0.7441,               0.003169,               0.003169,               0.003169
                     71,                0.26243,                0.19685,                0.82326,                  0.998,                0.99871,                0.99493,                0.97871,                0.15395,                0.10888,                 0.7438,                0.00307,                0.00307,                0.00307
                     72,                0.26097,                0.19537,                0.82402,                0.99806,                0.99868,                0.99493,                0.97923,                0.15368,                0.10847,                0.74372,               0.002971,               0.002971,               0.002971
                     73,                0.26019,                 0.1947,                0.82392,                0.99811,                0.99874,                0.99493,                0.97949,                0.15334,                0.10819,                0.74396,               0.002872,               0.002872,               0.002872
                     74,                0.25635,                0.19161,                0.82235,                0.99809,                0.99867,                0.99493,                0.97943,                0.15303,                0.10793,                0.74393,               0.002773,               0.002773,               0.002773
                     75,                0.25538,                0.18988,                0.82159,                0.99825,                0.99863,                0.99493,                0.97984,                0.15262,                0.10757,                0.74353,               0.002674,               0.002674,               0.002674
                     76,                0.25421,                0.18779,                 0.8203,                0.99843,                0.99864,                0.99493,                0.97987,                0.15201,                0.10688,                0.74251,               0.002575,               0.002575,               0.002575
                     77,                0.25158,                0.18761,                0.82076,                0.99846,                 0.9986,                0.99494,                0.97982,                0.15143,                0.10645,                 0.7423,               0.002476,               0.002476,               0.002476
                     78,                0.24968,                0.18533,                0.82007,                0.99846,                0.99861,                0.99494,                 0.9799,                 0.1508,                0.10605,                0.74178,               0.002377,               0.002377,               0.002377
