                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.37733,                0.28719,                 0.8485,                0.99226,                0.99593,                0.99463,                  0.967,                0.22756,                0.16254,                0.81063,               0.006535,               0.006535,               0.006535
                     37,                0.37395,                0.28417,                0.84919,                0.99222,                0.99642,                0.99464,                0.96706,                0.22695,                0.16214,                0.81071,               0.006436,               0.006436,               0.006436
                     38,                0.37445,                0.28393,                 0.8464,                0.99233,                 0.9963,                0.99462,                 0.9671,                0.22635,                0.16175,                0.81052,               0.006337,               0.006337,               0.006337
                     39,                0.37184,                0.28225,                0.84696,                0.99242,                0.99614,                0.99461,                0.96713,                0.22618,                 0.1613,                0.81064,               0.006238,               0.006238,               0.006238
                     40,                0.36989,                0.27999,                0.84595,                0.99233,                0.99627,                 0.9946,                0.96726,                0.22596,                0.16095,                0.81058,               0.006139,               0.006139,               0.006139
                     41,                0.36867,                0.27948,                0.84586,                0.99223,                0.99632,                0.99462,                0.96744,                0.22565,                0.16029,                0.81082,                0.00604,                0.00604,                0.00604
                     42,                0.37019,                0.27895,                0.84651,                 0.9922,                0.99573,                0.99464,                0.96753,                0.22539,                0.15968,                0.81065,               0.005941,               0.005941,               0.005941
                     43,                0.36723,                 0.2775,                0.84558,                0.99258,                0.99572,                0.99462,                0.96782,                0.22518,                0.15913,                0.81076,               0.005842,               0.005842,               0.005842
                     44,                 0.3655,                0.27518,                0.84416,                0.99264,                0.99606,                0.99462,                0.96782,                0.22471,                0.15863,                0.81048,               0.005743,               0.005743,               0.005743
                     45,                 0.3639,                0.27448,                 0.8441,                0.99266,                0.99608,                0.99463,                0.96782,                0.22406,                0.15812,                0.81018,               0.005644,               0.005644,               0.005644
                     46,                0.36191,                 0.2729,                0.84333,                0.99329,                 0.9956,                0.99466,                0.96826,                0.22369,                0.15773,                0.80998,               0.005545,               0.005545,               0.005545
                     47,                0.36073,                0.27272,                0.84324,                0.99328,                0.99581,                0.99466,                0.96849,                0.22305,                 0.1571,                0.80977,               0.005446,               0.005446,               0.005446
                     48,                0.35987,                0.27142,                0.84319,                0.99327,                0.99591,                0.99466,                0.96854,                0.22279,                0.15672,                0.80955,               0.005347,               0.005347,               0.005347
                     49,                0.35828,                0.27029,                0.84297,                0.99342,                0.99584,                0.99465,                0.96894,                0.22213,                0.15593,                0.80928,               0.005248,               0.005248,               0.005248
                     50,                0.35713,                0.26666,                0.84181,                0.99353,                0.99591,                0.99469,                0.96896,                0.22198,                0.15537,                0.80908,               0.005149,               0.005149,               0.005149
                     51,                0.35475,                0.26572,                 0.8419,                0.99343,                0.99584,                0.99468,                0.96898,                 0.2219,                0.15502,                0.80901,                0.00505,                0.00505,                0.00505
                     52,                0.35389,                0.26675,                0.84117,                 0.9938,                0.99574,                0.99468,                0.96948,                0.22144,                0.15478,                0.80874,               0.004951,               0.004951,               0.004951
                     53,                0.35306,                0.26415,                0.84225,                0.99384,                0.99599,                0.99467,                0.96945,                0.22088,                0.15417,                0.80847,               0.004852,               0.004852,               0.004852
                     54,                0.35157,                0.26323,                0.84031,                0.99406,                0.99592,                0.99468,                0.97007,                0.22024,                0.15344,                0.80813,               0.004753,               0.004753,               0.004753
                     55,                0.35104,                0.26191,                0.84096,                0.99412,                0.99598,                0.99469,                0.97015,                0.21989,                 0.1531,                0.80795,               0.004654,               0.004654,               0.004654
                     56,                0.34812,                0.25973,                0.83932,                 0.9939,                0.99607,                0.99471,                0.97056,                0.21914,                0.15251,                0.80768,               0.004555,               0.004555,               0.004555
                     57,                0.34366,                0.25778,                0.83846,                0.99411,                0.99631,                 0.9947,                0.97087,                 0.2186,                0.15217,                0.80759,               0.004456,               0.004456,               0.004456
                     58,                0.34501,                0.25713,                0.83981,                 0.9945,                0.99643,                 0.9947,                0.97101,                0.21829,                0.15164,                0.80743,               0.004357,               0.004357,               0.004357
                     59,                0.34192,                0.25603,                0.83773,                0.99345,                0.99662,                0.99468,                0.97102,                 0.2178,                0.15111,                0.80722,               0.004258,               0.004258,               0.004258
                     60,                0.34166,                0.25465,                0.83796,                0.99308,                0.99649,                0.99466,                 0.9711,                0.21711,                0.15061,                0.80701,               0.004159,               0.004159,               0.004159
                     61,                 0.3395,                0.25307,                0.83746,                  0.994,                0.99568,                0.99467,                0.97136,                0.21613,                0.15008,                0.80682,                0.00406,                0.00406,                0.00406
                     62,                 0.3369,                 0.2508,                0.83596,                0.99416,                0.99569,                 0.9947,                0.97185,                0.21537,                 0.1494,                0.80661,               0.003961,               0.003961,               0.003961
                     63,                0.33776,                0.25214,                0.83651,                0.99432,                0.99551,                0.99471,                0.97199,                0.21474,                0.14891,                0.80625,               0.003862,               0.003862,               0.003862
                     64,                 0.3339,                0.25004,                0.83583,                0.99471,                0.99554,                0.99472,                0.97226,                0.21414,                 0.1484,                0.80592,               0.003763,               0.003763,               0.003763
                     65,                0.33305,                0.24847,                0.83612,                0.99463,                 0.9958,                0.99472,                0.97234,                 0.2138,                0.14799,                0.80559,               0.003664,               0.003664,               0.003664
                     66,                0.33119,                0.24627,                0.83515,                0.99451,                0.99607,                0.99472,                0.97266,                0.21335,                0.14752,                0.80538,               0.003565,               0.003565,               0.003565
                     67,                0.32752,                 0.2435,                0.83415,                0.99441,                0.99623,                0.99472,                 0.9726,                0.21295,                  0.147,                 0.8053,               0.003466,               0.003466,               0.003466
                     68,                 0.3257,                0.24249,                0.83312,                0.99429,                0.99622,                0.99471,                0.97274,                0.21238,                0.14651,                0.80513,               0.003367,               0.003367,               0.003367
                     69,                0.32657,                0.23959,                0.83443,                0.99419,                0.99624,                0.99471,                0.97288,                0.21217,                0.14597,                0.80509,               0.003268,               0.003268,               0.003268
                     70,                0.32339,                0.23954,                0.83407,                0.99478,                0.99633,                0.99473,                0.97304,                0.21166,                0.14565,                0.80492,               0.003169,               0.003169,               0.003169
                     71,                0.32045,                0.23875,                0.83225,                0.99499,                0.99599,                0.99474,                 0.9731,                0.21125,                0.14523,                0.80484,                0.00307,                0.00307,                0.00307
                     72,                0.31973,                0.23745,                0.83178,                0.99514,                0.99592,                0.99474,                0.97346,                0.21057,                 0.1448,                 0.8046,               0.002971,               0.002971,               0.002971
                     73,                0.31645,                0.23487,                0.83141,                0.99526,                0.99596,                0.99472,                0.97321,                0.21003,                0.14435,                0.80436,               0.002872,               0.002872,               0.002872
                     74,                0.31542,                  0.232,                0.83028,                0.99506,                  0.996,                0.99474,                0.97332,                0.20961,                0.14384,                 0.8042,               0.002773,               0.002773,               0.002773
                     75,                0.31229,                0.23118,                 0.8297,                 0.9949,                0.99592,                0.99475,                0.97366,                0.20898,                0.14319,                0.80372,               0.002674,               0.002674,               0.002674
                     76,                0.30985,                0.22884,                0.82815,                0.99485,                0.99609,                0.99475,                0.97388,                0.20793,                0.14262,                0.80306,               0.002575,               0.002575,               0.002575
                     77,                0.30803,                0.22782,                0.82839,                0.99499,                0.99621,                0.99475,                0.97394,                 0.2074,                0.14202,                 0.8027,               0.002476,               0.002476,               0.002476
                     78,                0.30682,                0.22604,                0.82942,                0.99504,                0.99632,                0.99474,                0.97413,                0.20694,                 0.1416,                0.80269,               0.002377,               0.002377,               0.002377
                     79,                0.30426,                0.22363,                0.82778,                0.99506,                0.99648,                0.99476,                0.97427,                 0.2063,                0.14111,                0.80247,               0.002278,               0.002278,               0.002278
                     80,                0.30396,                 0.2236,                0.82782,                0.99502,                0.99611,                0.99477,                0.97454,                0.20551,                0.14049,                0.80219,               0.002179,               0.002179,               0.002179
                     81,                0.30216,                0.22056,                0.82763,                0.99502,                0.99625,                0.99479,                0.97467,                0.20467,                0.13981,                0.80201,                0.00208,                0.00208,                0.00208
                     82,                0.29745,                0.21839,                 0.8262,                0.99525,                 0.9961,                0.99479,                0.97501,                0.20378,                0.13928,                0.80167,               0.001981,               0.001981,               0.001981
                     83,                0.29622,                0.21594,                0.82563,                0.99532,                0.99604,                0.99479,                0.97513,                 0.2029,                0.13848,                0.80138,               0.001882,               0.001882,               0.001882
                     84,                0.29229,                0.21428,                0.82508,                 0.9955,                0.99611,                 0.9948,                 0.9754,                0.20202,                0.13782,                0.80115,               0.001783,               0.001783,               0.001783
                     85,                0.28891,                0.21105,                0.82466,                0.99561,                 0.9961,                 0.9948,                0.97562,                0.20136,                0.13738,                0.80095,               0.001684,               0.001684,               0.001684
                     86,                0.28897,                0.21099,                0.82337,                0.99636,                 0.9956,                 0.9948,                0.97577,                 0.2008,                0.13689,                0.80064,               0.001585,               0.001585,               0.001585
                     87,                0.28577,                0.20754,                0.82239,                0.99645,                0.99576,                 0.9948,                0.97576,                0.20031,                0.13616,                0.80002,               0.001486,               0.001486,               0.001486
                     88,                 0.2837,                0.20463,                 0.8224,                 0.9967,                0.99593,                 0.9948,                0.97604,                0.19981,                 0.1357,                0.79966,               0.001387,               0.001387,               0.001387
                     89,                0.27972,                0.20346,                0.82161,                0.99618,                0.99612,                0.99481,                0.97617,                0.19908,                0.13521,                0.79933,               0.001288,               0.001288,               0.001288
                     90,                0.27861,                0.20048,                0.82164,                0.99623,                0.99625,                0.99481,                0.97628,                0.19856,                 0.1347,                0.79874,               0.001189,               0.001189,               0.001189
                     91,                0.27568,                0.19879,                0.81924,                0.99608,                0.99629,                0.99481,                0.97667,                0.19769,                0.13406,                0.79818,                0.00109,                0.00109,                0.00109
                     92,                 0.2725,                0.19586,                0.81908,                0.99624,                0.99617,                0.99482,                0.97687,                0.19707,                0.13338,                0.79759,               0.000991,               0.000991,               0.000991
                     93,                0.26849,                0.19262,                0.81806,                0.99633,                0.99634,                0.99482,                0.97689,                0.19583,                0.13245,                0.79705,               0.000892,               0.000892,               0.000892
                     94,                0.26598,                0.18989,                 0.8182,                0.99656,                0.99644,                0.99483,                0.97694,                0.19509,                0.13203,                0.79669,               0.000793,               0.000793,               0.000793
                     95,                0.26219,                0.18822,                 0.8177,                0.99672,                0.99668,                0.99483,                0.97736,                0.19419,                0.13156,                0.79627,               0.000694,               0.000694,               0.000694
                     96,                0.25996,                0.18435,                0.81621,                0.99655,                0.99698,                0.99484,                 0.9778,                0.19295,                0.13088,                0.79572,               0.000595,               0.000595,               0.000595
                     97,                0.25704,                0.18203,                0.81547,                0.99636,                0.99697,                0.99484,                 0.9783,                0.19223,                0.13022,                0.79536,               0.000496,               0.000496,               0.000496
                     98,                0.25382,                0.17961,                0.81412,                0.99659,                0.99697,                0.99485,                0.97879,                0.19133,                0.12955,                0.79478,               0.000397,               0.000397,               0.000397
                     99,                0.25019,                0.17732,                0.81339,                0.99686,                0.99697,                0.99486,                0.97887,                0.19052,                0.12914,                0.79428,               0.000298,               0.000298,               0.000298
