                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.3116,                0.24112,                0.83426,                0.99732,                0.99778,                0.99485,                0.97585,                0.16242,                0.12591,                0.75898,               0.006436,               0.006436,               0.006436
                     38,                0.31103,                0.24131,                0.83485,                0.99743,                0.99771,                0.99486,                 0.9754,                0.16161,                0.12523,                0.75855,               0.006337,               0.006337,               0.006337
                     39,                0.30955,                0.23858,                0.83364,                0.99712,                 0.9981,                0.99486,                0.97536,                0.16115,                0.12442,                0.75738,               0.006238,               0.006238,               0.006238
                     40,                0.30645,                0.23624,                0.83278,                 0.9972,                0.99799,                0.99486,                0.97594,                0.16065,                 0.1238,                0.75655,               0.006139,               0.006139,               0.006139
                     41,                0.30803,                0.23778,                0.83348,                0.99699,                0.99786,                0.99486,                0.97616,                0.16038,                0.12331,                 0.7562,                0.00604,                0.00604,                0.00604
                     42,                0.30824,                0.23663,                0.83377,                 0.9968,                 0.9977,                0.99486,                 0.9759,                0.16006,                0.12285,                0.75576,               0.005941,               0.005941,               0.005941
                     43,                0.30493,                0.23427,                0.83191,                0.99736,                0.99788,                0.99487,                0.97599,                0.15946,                0.12239,                0.75531,               0.005842,               0.005842,               0.005842
                     44,                0.30331,                0.23326,                0.83237,                0.99747,                0.99747,                0.99487,                0.97581,                0.15907,                0.12203,                0.75563,               0.005743,               0.005743,               0.005743
                     45,                0.30147,                0.23194,                0.83234,                0.99743,                0.99758,                0.99487,                0.97544,                0.15867,                0.12153,                0.75587,               0.005644,               0.005644,               0.005644
                     46,                0.30002,                0.23143,                0.83168,                0.99767,                0.99763,                0.99488,                 0.9755,                0.15837,                0.12142,                0.75695,               0.005545,               0.005545,               0.005545
                     47,                0.29994,                0.23104,                0.83444,                 0.9976,                0.99757,                0.99489,                0.97582,                0.15809,                0.12102,                  0.758,               0.005446,               0.005446,               0.005446
                     48,                0.29868,                0.23024,                 0.8325,                 0.9976,                0.99756,                0.99489,                0.97621,                0.15778,                0.12061,                0.75918,               0.005347,               0.005347,               0.005347
                     49,                0.29734,                0.22849,                0.83106,                0.99756,                0.99757,                 0.9949,                0.97654,                0.15749,                0.11993,                0.75862,               0.005248,               0.005248,               0.005248
                     50,                0.29435,                 0.2245,                 0.8313,                0.99721,                0.99787,                 0.9949,                0.97723,                0.15722,                0.11946,                0.75869,               0.005149,               0.005149,               0.005149
                     51,                0.29339,                0.22463,                0.83056,                0.99753,                0.99767,                 0.9949,                0.97742,                0.15687,                0.11882,                0.75863,                0.00505,                0.00505,                0.00505
                     52,                0.29123,                 0.2219,                0.82844,                0.99755,                0.99776,                 0.9949,                0.97793,                0.15639,                0.11842,                0.75815,               0.004951,               0.004951,               0.004951
                     53,                0.28906,                0.22262,                0.82785,                0.99763,                0.99777,                 0.9949,                 0.9779,                0.15588,                0.11785,                0.75816,               0.004852,               0.004852,               0.004852
                     54,                0.28778,                 0.2204,                0.82865,                0.99766,                0.99775,                0.99489,                0.97828,                0.15531,                0.11738,                0.75752,               0.004753,               0.004753,               0.004753
                     55,                0.28665,                   0.22,                0.82752,                0.99787,                0.99755,                 0.9949,                0.97848,                0.15489,                0.11705,                0.75769,               0.004654,               0.004654,               0.004654
                     56,                 0.2867,                0.21894,                0.82829,                0.99805,                0.99736,                 0.9949,                0.97885,                0.15446,                0.11654,                 0.7581,               0.004555,               0.004555,               0.004555
                     57,                0.28518,                0.21824,                0.82833,                0.99804,                0.99724,                 0.9949,                0.97898,                0.15421,                0.11612,                0.75861,               0.004456,               0.004456,               0.004456
                     58,                0.28376,                0.21664,                0.82907,                0.99789,                 0.9978,                 0.9949,                 0.9788,                0.15378,                0.11575,                0.75929,               0.004357,               0.004357,               0.004357
                     59,                 0.2808,                 0.2143,                0.82596,                0.99793,                0.99763,                0.99491,                0.97899,                0.15352,                0.11539,                0.75918,               0.004258,               0.004258,               0.004258
                     60,                0.27943,                0.21193,                0.82583,                0.99778,                0.99825,                0.99491,                0.97924,                0.15286,                0.11481,                0.75825,               0.004159,               0.004159,               0.004159
                     61,                0.27827,                0.21132,                0.82635,                0.99786,                 0.9983,                0.99491,                0.97948,                0.15242,                0.11445,                0.75755,                0.00406,                0.00406,                0.00406
                     62,                 0.2762,                0.21004,                0.82473,                 0.9978,                0.99822,                0.99491,                0.97974,                0.15222,                0.11419,                0.75695,               0.003961,               0.003961,               0.003961
                     63,                0.27449,                0.20875,                0.82487,                0.99803,                0.99818,                0.99491,                0.97972,                0.15188,                0.11367,                0.75564,               0.003862,               0.003862,               0.003862
                     64,                 0.2739,                0.20772,                0.82459,                0.99809,                0.99823,                0.99491,                0.97964,                0.15165,                0.11343,                0.75514,               0.003763,               0.003763,               0.003763
                     65,                0.27135,                0.20587,                  0.824,                0.99811,                0.99824,                0.99491,                0.98033,                0.15133,                0.11281,                0.75463,               0.003664,               0.003664,               0.003664
                     66,                0.26883,                0.20431,                0.82281,                0.99809,                0.99822,                0.99492,                0.98053,                0.15095,                0.11241,                0.75397,               0.003565,               0.003565,               0.003565
                     67,                0.26843,                0.20408,                0.82155,                0.99808,                0.99822,                0.99492,                0.98055,                0.15047,                0.11186,                0.75293,               0.003466,               0.003466,               0.003466
                     68,                0.26694,                0.20081,                0.82305,                0.99794,                0.99838,                0.99492,                0.98046,                0.14987,                0.11161,                0.75279,               0.003367,               0.003367,               0.003367
                     69,                0.26491,                0.20017,                0.82278,                0.99795,                0.99838,                0.99492,                0.98083,                0.14941,                 0.1109,                0.75225,               0.003268,               0.003268,               0.003268
                     70,                0.26411,                0.19934,                0.82094,                0.99803,                0.99842,                0.99492,                0.98079,                0.14897,                0.11038,                0.75107,               0.003169,               0.003169,               0.003169
                     71,                0.26062,                0.19727,                0.82143,                  0.998,                0.99842,                0.99492,                0.98102,                 0.1485,                 0.1101,                0.75041,                0.00307,                0.00307,                0.00307
                     72,                0.25919,                0.19541,                0.82091,                0.99797,                0.99847,                0.99492,                0.98106,                 0.1479,                0.10966,                0.74973,               0.002971,               0.002971,               0.002971
                     73,                0.25767,                0.19417,                0.82086,                0.99794,                0.99859,                0.99492,                0.98111,                0.14729,                 0.1091,                0.74919,               0.002872,               0.002872,               0.002872
                     74,                0.25501,                0.19187,                0.81996,                0.99796,                0.99846,                0.99493,                0.98126,                0.14687,                0.10862,                0.74865,               0.002773,               0.002773,               0.002773
                     75,                0.25338,                0.19047,                0.81868,                0.99795,                0.99847,                0.99493,                  0.981,                0.14653,                0.10804,                0.74791,               0.002674,               0.002674,               0.002674
                     76,                0.25206,                0.18973,                0.81873,                0.99797,                0.99843,                0.99493,                0.98131,                0.14612,                0.10773,                0.74752,               0.002575,               0.002575,               0.002575
                     77,                0.24993,                0.18851,                0.81835,                0.99789,                0.99851,                0.99493,                0.98174,                0.14566,                0.10716,                0.74709,               0.002476,               0.002476,               0.002476
                     78,                0.24726,                0.18677,                0.81749,                0.99807,                0.99843,                0.99493,                0.98178,                0.14506,                0.10667,                0.74656,               0.002377,               0.002377,               0.002377
                     79,                0.24581,                0.18458,                0.81692,                 0.9983,                0.99833,                0.99494,                0.98157,                0.14464,                0.10632,                 0.7453,               0.002278,               0.002278,               0.002278
                     80,                0.24404,                0.18379,                0.81744,                0.99835,                 0.9984,                0.99494,                0.98187,                0.14441,                  0.106,                0.74506,               0.002179,               0.002179,               0.002179
