                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.44006,                0.30474,                0.88394,                0.98469,                0.98547,                0.99162,                0.93135,                0.31285,                0.18409,                0.79762,               0.006535,               0.006535,               0.006535
                     37,                0.43823,                0.30369,                 0.8852,                0.98458,                 0.9862,                0.99191,                0.93198,                0.31224,                0.18348,                0.79704,               0.006436,               0.006436,               0.006436
                     38,                0.43629,                 0.3022,                0.88374,                0.98466,                0.98595,                0.99257,                0.93267,                0.31154,                0.18255,                0.79646,               0.006337,               0.006337,               0.006337
                     39,                0.43489,                0.30145,                0.88311,                0.98469,                0.98642,                0.99295,                0.93443,                0.31085,                 0.1817,                0.79601,               0.006238,               0.006238,               0.006238
                     40,                0.43258,                0.29936,                0.88123,                0.98454,                0.99425,                0.99341,                  0.935,                0.31008,                0.18086,                0.79533,               0.006139,               0.006139,               0.006139
                     41,                0.43297,                 0.2973,                0.88124,                0.99443,                0.99524,                0.99444,                0.93425,                0.30942,                 0.1801,                0.79469,                0.00604,                0.00604,                0.00604
                     42,                0.42917,                0.29557,                0.88328,                0.99486,                0.99587,                0.99444,                0.93901,                0.30889,                0.17954,                0.79479,               0.005941,               0.005941,               0.005941
                     43,                0.42987,                0.29491,                0.88216,                0.99468,                0.99661,                0.99444,                0.93945,                0.30817,                0.17883,                0.79476,               0.005842,               0.005842,               0.005842
                     44,                0.42695,                 0.2942,                0.88206,                0.99462,                0.99656,                0.99445,                0.94016,                0.30752,                0.17805,                0.79454,               0.005743,               0.005743,               0.005743
                     45,                0.42686,                0.29059,                0.88095,                0.99401,                0.99621,                0.99446,                0.94165,                0.30701,                0.17731,                0.79448,               0.005644,               0.005644,               0.005644
                     46,                0.42512,                0.28947,                0.87862,                 0.9939,                0.99589,                0.99447,                0.94217,                0.30646,                0.17652,                0.79402,               0.005545,               0.005545,               0.005545
                     47,                0.42149,                0.28981,                0.87832,                0.99412,                0.99579,                0.99448,                0.94173,                0.30573,                 0.1759,                0.79373,               0.005446,               0.005446,               0.005446
                     48,                0.41982,                0.29064,                0.87979,                0.99409,                0.99573,                0.99449,                0.94215,                0.30502,                0.17541,                0.79354,               0.005347,               0.005347,               0.005347
                     49,                0.42087,                0.28565,                0.87871,                0.99449,                0.99517,                0.99449,                0.94132,                0.30427,                0.17453,                0.79317,               0.005248,               0.005248,               0.005248
                     50,                0.41809,                0.28259,                0.87542,                0.99469,                0.99471,                 0.9945,                0.94168,                0.30353,                0.17385,                0.79224,               0.005149,               0.005149,               0.005149
                     51,                 0.4157,                0.28469,                0.87598,                0.99486,                 0.9947,                0.99451,                0.94184,                0.30287,                0.17331,                0.79174,                0.00505,                0.00505,                0.00505
                     52,                0.41361,                 0.2811,                0.87516,                0.99528,                0.99393,                0.99451,                0.94323,                0.30222,                0.17256,                0.79132,               0.004951,               0.004951,               0.004951
                     53,                0.41161,                0.27846,                0.87412,                0.99534,                0.99323,                0.99452,                0.94299,                0.30162,                0.17191,                0.79077,               0.004852,               0.004852,               0.004852
                     54,                0.41037,                0.27916,                0.87513,                0.99572,                  0.993,                0.99452,                0.94336,                0.30103,                 0.1715,                0.79063,               0.004753,               0.004753,               0.004753
